YEAR,MO,DY,WD10M,WS50M,PS,WS10M,WD50M,RH2M,PRECTOTCORR,T2M,T2MDEW,TS,ALLSKY_SFC_UV_INDEX
2017,1,28,237.81,5.91,96.95,3.68,237.81,66.75,0.85,5.48,-0.42,4.81,0.3
2017,1,29,311.5,6.92,97.27,4.52,311.56,80.75,0.5,7.12,3.74,7.0,0.3
2017,1,30,231.31,4.48,97.67,2.84,230.69,77.5,0.1,7.52,3.8,7.25,0.5
2017,1,31,235.62,7.47,97.6,4.8,235.94,73.69,0.0,7.69,2.71,7.28,0.59
2017,2,1,228.75,7.19,97.5,4.44,228.94,65.12,0.0,8.4,1.77,7.88,0.58
2017,2,2,234.19,5.35,97.35,3.41,234.75,60.06,0.0,9.87,1.76,9.19,0.56
2017,2,3,173.44,4.34,97.35,2.77,172.44,56.0,0.0,11.15,2.12,10.4,0.62
2017,2,4,252.38,5.38,97.42,3.56,252.5,56.56,0.0,11.58,2.68,9.55,0.55
2017,2,5,255.38,9.22,96.94,6.14,255.94,61.31,0.22,12.1,3.82,11.63,0.61
2017,2,6,299.56,11.98,96.68,8.32,300.62,56.69,0.72,9.05,0.56,8.58,0.51
2017,2,7,318.31,9.96,96.83,6.37,318.81,71.62,0.08,9.11,3.61,8.84,0.56
2017,2,8,275.0,7.02,96.67,4.68,275.56,73.19,0.92,9.86,4.8,9.66,0.63
2017,2,9,294.56,9.91,96.46,6.84,295.69,63.19,0.56,8.24,0.83,8.17,0.45
2017,2,10,257.5,6.73,96.82,4.84,257.44,69.12,0.05,9.01,3.31,8.61,0.53
2017,2,11,216.81,4.55,97.09,3.13,216.94,49.38,0.0,9.21,-1.85,7.71,0.72
2017,2,12,153.25,5.52,97.23,3.66,153.75,65.62,0.01,8.64,1.19,8.01,0.58
2017,2,13,115.56,4.17,97.21,2.86,117.0,74.0,0.05,10.76,4.96,11.05,0.72
2017,2,14,52.31,6.8,97.41,5.21,53.0,84.0,0.09,11.03,8.34,10.88,0.47
2017,2,15,79.12,8.86,98.11,7.01,80.0,78.06,0.04,11.58,7.48,12.18,0.47
2017,2,16,89.94,5.42,98.23,4.02,90.88,80.25,0.0,10.02,6.4,10.82,0.66
2017,2,17,82.25,3.4,97.78,2.5,84.0,82.44,0.0,9.33,6.13,10.09,0.75
2017,2,18,88.25,4.67,97.22,3.33,87.81,76.88,0.0,10.5,6.01,11.12,0.62
2017,2,19,155.69,5.38,97.37,3.82,139.5,71.94,0.0,9.17,3.33,9.44,0.73
2017,2,20,239.81,2.23,97.49,1.49,243.94,70.12,0.0,10.07,4.33,9.45,0.54
2017,2,21,87.38,3.47,97.52,2.27,69.31,69.62,0.0,9.9,3.79,10.31,0.71
2017,2,22,222.38,4.48,97.37,2.7,235.25,60.75,0.0,13.44,4.98,13.17,0.71
2017,2,23,242.94,4.17,97.13,2.93,243.31,52.69,0.01,16.05,5.91,14.57,0.7
2017,2,24,217.69,8.36,96.46,5.09,217.69,47.38,0.0,15.33,3.24,14.78,0.53
2017,2,25,259.25,5.38,96.6,3.78,271.69,76.19,14.14,12.23,7.57,13.38,0.66
2017,2,26,267.81,6.47,96.95,4.66,282.81,77.06,8.24,9.58,5.33,10.17,0.55
2017,2,27,274.5,5.06,97.07,3.16,275.31,71.75,0.04,10.81,5.01,11.41,0.88
2017,2,28,253.12,6.11,96.87,4.0,254.75,57.19,0.0,12.29,2.95,12.29,1.06
2017,3,1,239.75,5.23,97.14,3.3,238.25,60.31,0.0,12.69,4.38,12.89,0.91
2017,3,2,205.56,4.23,97.28,2.88,206.88,64.75,0.0,12.94,5.21,12.46,1.07
2017,3,3,232.56,5.65,96.86,3.84,232.81,50.31,0.0,13.75,2.63,13.01,1.1
2017,3,4,162.31,4.97,96.51,3.05,164.0,49.12,0.03,14.34,2.13,14.2,1.12
2017,3,5,260.06,4.62,96.84,2.99,258.94,58.38,0.07,15.01,5.58,15.52,1.08
2017,3,6,307.62,5.14,97.21,3.2,307.75,65.0,0.01,14.04,6.33,14.69,1.05
2017,3,7,313.56,11.77,96.86,8.5,314.0,60.25,0.01,13.21,4.33,13.3,0.93
2017,3,8,342.12,15.25,96.97,11.55,342.12,59.06,0.25,11.65,3.08,11.9,0.96
2017,3,9,337.06,10.77,97.3,7.7,337.31,69.81,0.32,12.3,6.37,12.61,0.95
2017,3,10,322.06,11.41,96.84,7.93,322.5,47.94,0.0,15.54,2.78,15.32,1.26
2017,3,11,164.06,7.97,96.94,5.88,164.0,57.69,0.01,13.04,3.12,13.42,1.38
2017,3,12,256.88,6.8,96.79,4.65,258.25,41.56,0.0,14.54,0.24,13.76,1.43
2017,3,13,256.62,6.3,96.65,4.21,257.06,32.5,0.0,16.19,-1.83,14.78,1.19
2017,3,14,49.69,7.9,97.39,6.07,49.75,74.5,0.14,13.07,8.11,14.05,0.8
2017,3,15,64.62,7.67,97.33,6.2,64.94,73.25,0.64,11.8,6.65,12.91,0.89
2017,3,16,25.62,9.28,97.18,7.0,26.12,77.62,0.97,8.81,4.82,9.32,0.62
2017,3,17,182.5,5.5,97.48,3.89,151.75,61.12,0.01,9.9,1.28,10.75,1.2
2017,3,18,240.25,5.05,97.31,3.07,242.12,39.75,0.0,12.4,-2.78,12.78,1.27
2017,3,19,246.19,4.18,97.07,2.78,246.94,37.69,0.0,13.95,-1.92,13.81,1.12
2017,3,20,159.12,3.37,96.54,2.51,158.69,53.12,13.2,13.38,3.11,12.8,0.73
2017,3,21,207.69,10.07,96.3,7.31,193.31,70.56,9.21,12.87,7.07,13.11,0.91
2017,3,22,277.56,4.84,96.78,2.84,278.31,62.88,0.01,14.23,5.93,15.4,1.39
2017,3,23,192.75,6.05,96.89,4.16,193.75,58.44,0.0,14.63,5.39,15.1,1.4
2017,3,24,140.81,6.73,96.82,4.94,141.56,73.38,0.05,14.21,8.31,15.2,1.36
2017,3,25,100.19,3.77,96.96,2.52,115.62,70.69,0.1,16.01,9.23,17.69,1.12
2017,3,26,76.25,3.58,97.14,2.43,78.62,62.0,0.0,14.94,6.01,16.67,1.35
2017,3,27,202.25,3.05,97.1,1.94,210.56,57.44,0.0,16.13,5.42,17.19,1.61
2017,3,28,265.38,6.05,97.37,4.15,263.88,61.5,0.12,14.3,5.77,15.44,1.41
2017,3,29,139.06,5.51,97.58,3.83,138.31,67.25,0.33,11.94,5.19,13.09,1.17
2017,3,30,156.75,5.16,97.79,3.46,155.88,60.94,0.05,12.16,3.3,13.19,1.52
2017,3,31,235.94,6.17,97.65,4.46,236.75,45.12,0.0,15.01,1.95,15.08,1.58
2017,4,1,263.31,9.9,96.89,6.97,263.62,41.12,3.25,16.38,1.5,16.41,1.43
2017,4,2,301.25,6.74,96.81,4.66,315.56,57.62,1.06,13.71,4.26,14.9,1.25
2017,4,3,310.81,6.79,96.86,4.67,310.5,63.38,0.51,12.39,4.5,13.29,1.11
2017,4,4,334.88,7.2,97.07,4.93,335.0,68.06,0.66,12.72,6.34,13.6,1.02
2017,4,5,260.88,4.73,97.09,3.1,263.0,58.75,0.0,14.7,5.01,16.45,1.4
2017,4,6,168.75,5.75,96.75,3.98,168.88,49.38,0.24,15.14,3.47,15.76,1.1
2017,4,7,55.81,6.61,96.75,5.02,57.38,71.69,1.7,12.9,7.44,13.83,0.68
2017,4,8,63.12,9.26,97.0,7.27,63.94,74.44,3.93,12.86,7.91,13.24,0.36
2017,4,9,47.56,10.12,97.24,7.73,48.31,75.44,7.55,11.81,7.25,12.23,0.36
2017,4,10,95.75,6.87,97.36,5.02,95.31,70.62,0.08,13.12,7.14,13.95,1.02
2017,4,11,122.94,3.12,97.24,2.07,118.62,66.5,0.65,14.16,7.09,15.82,1.57
2017,4,12,185.25,5.61,97.21,3.84,200.19,58.44,0.9,14.85,6.07,15.52,1.49
2017,4,13,244.44,5.03,97.04,3.51,243.69,52.19,0.0,16.51,4.9,17.11,1.7
2017,4,14,234.12,4.4,96.99,3.06,232.94,41.38,0.0,19.12,4.19,18.96,1.88
2017,4,15,216.94,4.24,96.96,2.83,217.38,40.75,0.0,21.27,6.19,21.26,1.68
2017,4,16,259.25,6.51,96.92,4.93,258.5,48.38,0.0,19.13,7.23,19.48,1.57
2017,4,17,275.88,5.0,96.99,3.38,277.5,48.25,0.0,17.12,2.98,18.3,-999.0
2017,4,18,236.06,5.05,96.69,3.59,237.06,47.06,0.0,20.4,7.61,20.85,1.66
2017,4,19,62.31,4.22,96.72,3.03,63.06,51.06,0.0,18.74,7.4,20.34,1.43
2017,4,20,58.06,6.99,97.18,5.63,57.56,68.0,0.0,11.13,5.37,11.98,1.35
2017,4,21,37.69,7.58,97.58,5.53,37.44,56.69,0.0,10.9,1.98,11.77,1.48
2017,4,22,61.94,5.85,97.71,3.91,60.75,55.75,0.0,10.75,0.85,12.48,1.8
2017,4,23,205.69,5.52,97.26,3.83,207.5,49.19,0.0,13.51,0.82,14.72,2.02
2017,4,24,153.56,3.79,96.95,2.77,154.25,46.56,0.0,15.68,2.35,16.62,1.77
2017,4,25,68.0,4.91,96.59,3.57,67.69,60.56,0.0,17.44,7.73,19.04,1.8
2017,4,26,192.44,3.48,96.47,2.39,194.75,56.25,0.0,19.86,8.34,21.56,1.77
2017,4,27,162.69,5.22,96.48,3.89,164.12,46.81,0.0,21.25,8.01,21.98,1.52
2017,4,28,131.12,5.7,96.16,4.47,149.31,52.5,0.0,21.01,8.94,21.67,1.21
2017,4,29,261.31,6.37,96.48,5.08,259.75,54.75,0.2,17.83,7.75,19.95,1.86
2017,4,30,165.88,2.41,96.7,1.86,171.44,67.0,0.8,17.15,10.41,19.0,1.7
2017,5,1,170.69,2.91,96.86,2.34,175.25,61.81,13.55,20.11,11.29,21.57,1.64
2017,5,2,79.19,3.64,97.13,2.72,79.38,68.5,4.25,17.55,11.08,19.54,1.41
2017,5,3,150.94,4.23,97.07,3.05,153.62,61.0,0.23,18.05,9.3,20.03,1.82
2017,5,4,209.62,4.66,96.82,2.98,212.56,49.19,0.03,21.87,9.41,23.48,1.9
2017,5,5,221.62,6.51,96.76,4.38,221.88,43.5,0.01,25.23,11.05,25.57,2.12
2017,5,6,176.31,4.09,96.77,3.0,178.38,37.38,0.0,27.15,9.71,27.63,2.11
2017,5,7,68.0,6.45,96.87,5.04,37.25,46.5,0.0,20.93,7.93,22.78,2.11
2017,5,8,287.44,8.27,96.78,6.17,286.69,41.56,0.0,18.93,4.14,20.34,2.35
2017,5,9,249.06,5.1,96.5,3.54,251.5,45.88,0.0,20.66,6.75,22.15,2.32
2017,5,10,149.44,3.92,96.24,2.57,152.12,58.25,0.2,18.97,10.15,19.82,1.65
2017,5,11,207.44,9.62,95.77,6.77,207.06,38.06,0.0,26.83,10.05,26.64,1.16
2017,5,12,134.81,7.53,96.19,5.69,135.56,38.88,0.05,25.27,8.48,26.32,1.89
2017,5,13,148.06,5.42,96.97,4.18,148.31,45.69,0.01,22.38,9.33,24.18,1.8
2017,5,14,43.38,6.27,97.37,4.64,42.88,42.19,0.17,21.96,7.28,22.94,2.05
2017,5,15,27.81,7.11,97.64,5.45,28.0,54.44,0.21,19.46,9.74,20.23,1.52
2017,5,16,123.5,6.66,97.51,4.55,122.94,47.69,0.0,20.1,6.83,21.82,2.29
2017,5,17,143.06,5.07,97.22,3.56,141.06,49.69,0.0,20.05,8.07,22.34,2.23
2017,5,18,214.06,5.8,96.8,4.05,216.0,50.56,0.0,21.64,9.27,22.9,1.98
2017,5,19,191.88,4.11,96.82,2.87,195.5,42.06,0.0,24.51,9.2,26.58,2.1
2017,5,20,82.69,3.54,97.27,2.6,85.88,51.19,0.0,22.52,10.64,25.3,2.16
2017,5,21,231.12,6.84,97.22,4.97,230.12,39.31,0.0,20.73,4.46,22.59,2.38
2017,5,22,186.69,1.87,97.04,1.31,190.25,44.38,0.0,20.47,6.65,21.54,2.28
2017,5,23,148.62,3.43,96.97,2.59,151.81,50.94,0.14,22.47,10.6,24.15,1.92
2017,5,24,110.75,3.26,97.06,2.63,109.88,46.81,0.0,23.12,9.98,26.0,2.11
2017,5,25,220.31,2.56,96.79,1.88,221.88,45.81,0.01,25.56,11.61,26.89,2.05
2017,5,26,132.06,4.41,96.63,3.34,203.81,41.62,0.06,26.05,10.3,27.63,2.01
2017,5,27,97.56,3.76,96.91,2.89,107.25,53.56,0.82,22.08,11.44,23.3,1.79
2017,5,28,75.94,5.23,97.04,4.04,74.81,53.0,0.01,21.37,9.71,24.0,2.26
2017,5,29,112.38,5.44,96.9,4.31,112.5,58.06,0.0,19.74,9.55,21.94,2.34
2017,5,30,111.38,4.98,96.98,4.16,111.06,59.69,0.0,20.46,10.72,22.8,2.21
2017,5,31,98.94,4.62,97.18,3.82,98.81,59.31,0.16,21.53,11.56,24.01,2.02
2017,6,1,112.69,3.72,97.2,2.86,113.31,54.19,0.03,22.79,10.97,25.24,2.12
2017,6,2,115.56,4.32,97.07,3.5,114.75,44.38,0.02,24.19,9.32,25.87,1.9
2017,6,3,143.06,2.34,96.79,1.95,146.44,46.0,0.01,26.36,11.89,29.13,2.38
2017,6,4,83.56,3.89,96.69,3.09,82.5,40.06,0.01,25.65,9.94,27.74,2.2
2017,6,5,60.62,4.77,96.41,3.7,60.38,42.88,1.54,23.58,9.03,25.46,1.84
2017,6,6,270.12,5.29,96.62,4.14,268.81,54.62,2.56,21.67,11.55,24.03,1.55
2017,6,7,175.56,6.44,97.07,4.78,175.0,50.19,0.01,22.81,10.11,24.93,2.33
2017,6,8,205.19,3.93,97.08,2.81,215.69,44.88,0.01,24.1,8.71,27.03,2.41
2017,6,9,218.88,5.92,96.79,4.3,220.94,44.19,0.0,26.99,11.03,28.72,2.37
2017,6,10,130.0,4.95,96.85,3.84,128.44,41.06,0.01,27.24,11.94,29.31,2.29
2017,6,11,45.19,4.54,96.85,3.41,42.44,44.31,0.0,25.83,11.09,28.5,2.47
2017,6,12,56.81,6.24,96.9,4.73,56.06,44.38,0.0,23.71,9.89,25.9,2.6
2017,6,13,150.81,3.98,96.94,3.26,151.06,50.0,0.0,23.33,10.68,25.76,2.52
2017,6,14,187.69,3.73,96.8,2.73,190.31,41.12,0.0,25.37,8.42,27.39,2.55
2017,6,15,169.75,3.18,96.79,2.46,173.0,34.69,0.0,29.01,8.92,30.83,2.54
2017,6,16,132.38,4.3,96.95,3.38,131.19,35.12,0.0,28.74,9.87,30.22,2.55
2017,6,17,183.44,2.52,96.76,1.59,248.5,33.25,0.0,30.5,11.43,33.51,2.49
2017,6,18,105.38,4.04,96.68,3.25,106.31,37.56,0.0,27.77,11.16,29.62,2.38
2017,6,19,76.5,5.6,97.08,4.73,75.12,56.31,0.0,25.33,14.85,28.3,2.16
2017,6,20,129.5,4.27,97.24,3.59,129.94,50.88,0.0,24.35,11.67,27.59,2.52
2017,6,21,186.75,3.99,96.97,2.84,188.81,49.56,1.26,26.26,13.59,28.14,1.82
2017,6,22,145.38,3.27,96.97,2.5,147.19,48.06,0.5,26.82,14.2,29.45,1.87
2017,6,23,90.56,3.92,97.26,3.06,88.88,39.69,0.0,26.58,10.33,29.09,2.39
2017,6,24,158.5,3.34,97.16,2.54,156.0,34.19,0.0,27.55,9.29,29.89,2.5
2017,6,25,198.31,3.5,96.9,2.54,202.62,31.38,0.0,29.37,9.44,31.66,2.56
2017,6,26,215.25,4.98,96.67,3.37,218.06,28.88,0.0,31.35,9.22,33.15,2.55
2017,6,27,253.88,6.99,96.65,5.16,254.81,31.94,0.0,31.69,11.73,33.35,1.84
2017,6,28,235.88,8.0,96.29,5.73,236.0,25.88,0.0,33.65,9.2,34.43,2.36
2017,6,29,124.62,6.0,96.35,4.37,127.19,29.75,0.0,30.62,8.23,32.4,2.66
2017,6,30,115.69,6.74,96.26,5.35,118.19,39.44,0.0,30.72,10.43,32.51,2.59
2017,7,1,30.25,8.73,96.65,7.54,14.81,40.62,0.0,26.15,10.8,28.92,2.68
2017,7,2,207.56,8.66,97.07,7.16,236.56,43.75,0.01,24.01,9.65,26.73,2.73
2017,7,3,171.88,6.94,97.22,5.44,200.94,49.0,0.01,24.08,11.33,26.82,2.55
2017,7,4,104.56,3.73,97.24,2.77,102.0,44.75,0.0,24.73,10.26,28.02,2.54
2017,7,5,155.75,3.5,97.18,2.9,156.25,44.88,0.0,26.29,10.78,29.16,2.66
2017,7,6,153.56,3.92,97.21,3.21,153.5,37.06,0.0,26.65,8.76,29.1,2.63
2017,7,7,162.56,4.35,97.16,3.44,163.44,33.88,0.0,26.93,7.65,28.98,2.7
2017,7,8,170.81,4.34,96.99,3.28,170.88,35.5,0.0,27.69,9.01,30.19,2.63
2017,7,9,159.0,4.02,96.85,3.21,158.19,28.69,0.0,28.37,7.08,30.41,2.7
2017,7,10,158.19,3.05,96.8,2.28,158.19,28.56,0.0,29.48,6.51,31.8,2.63
2017,7,11,187.81,4.34,96.93,3.05,190.69,27.69,0.0,31.96,7.93,34.23,2.52
2017,7,12,222.38,4.98,96.95,3.41,226.69,19.25,0.0,35.25,6.33,36.44,2.46
2017,7,13,244.38,7.03,96.88,5.13,228.62,22.75,0.0,33.45,7.38,34.63,2.64
2017,7,14,147.38,4.9,96.76,3.59,175.69,26.88,0.0,32.51,9.42,34.5,2.62
2017,7,15,151.75,5.55,96.7,4.27,180.44,31.12,0.0,30.84,9.73,32.98,2.66
2017,7,16,175.5,8.49,96.81,6.8,190.19,36.5,0.0,27.38,10.37,29.54,2.53
2017,7,17,45.19,6.51,97.04,5.16,43.56,45.69,0.0,25.95,11.58,28.87,2.41
2017,7,18,146.38,3.88,97.11,3.23,151.06,45.44,0.0,26.66,12.65,30.51,2.45
2017,7,19,188.12,4.66,96.88,3.47,192.94,42.94,0.0,29.26,13.12,31.98,2.32
2017,7,20,191.38,3.66,96.53,2.61,197.44,37.19,0.0,31.61,12.43,34.23,2.16
2017,7,21,162.88,3.76,96.58,2.92,172.25,47.0,0.07,30.62,15.08,33.44,2.16
2017,7,22,182.06,4.39,96.84,3.27,183.62,34.0,0.02,32.74,12.56,35.05,2.03
2017,7,23,230.06,4.85,96.98,3.45,230.5,24.56,0.04,35.97,10.93,37.62,2.02
2017,7,24,188.25,5.41,96.65,4.34,203.25,29.56,0.09,35.15,12.62,36.7,1.69
2017,7,25,249.94,5.47,96.51,4.62,246.56,38.38,0.0,29.66,12.65,33.17,2.46
2017,7,26,136.94,3.4,96.55,2.64,137.5,48.44,2.37,28.1,15.47,31.1,2.3
2017,7,27,180.0,4.16,96.79,3.05,192.12,41.38,0.0,27.22,11.62,30.29,2.36
2017,7,28,127.69,3.27,96.99,2.32,125.56,38.38,0.0,28.73,11.01,31.81,2.47
2017,7,29,171.94,3.47,97.01,2.84,173.19,37.44,0.0,30.18,12.31,32.99,2.47
2017,7,30,174.94,4.62,96.88,3.8,176.88,37.25,0.0,30.85,12.58,33.7,2.48
2017,7,31,176.06,4.88,96.85,3.91,178.0,38.81,0.0,30.05,12.28,32.44,2.43
2017,8,1,157.94,4.11,97.02,3.17,158.0,36.5,0.0,29.55,11.05,32.04,2.44
2017,8,2,169.88,3.38,97.21,2.7,170.19,28.94,0.0,30.2,8.56,31.65,2.52
2017,8,3,148.88,3.2,97.06,2.34,147.0,24.75,0.01,31.87,7.73,33.49,2.48
2017,8,4,193.44,2.8,96.86,2.18,192.19,23.94,0.0,32.79,8.27,34.45,2.48
2017,8,5,181.81,4.96,96.71,3.37,180.81,20.5,0.0,34.15,7.05,36.12,2.3
2017,8,6,208.06,3.23,96.72,2.28,208.5,20.88,0.0,34.1,6.9,36.1,2.12
2017,8,7,196.94,3.71,96.72,2.76,200.5,20.38,0.0,34.27,7.12,35.87,2.0
2017,8,8,204.88,5.3,96.7,3.93,206.62,24.69,0.0,33.63,9.03,35.47,2.2
2017,8,9,228.12,4.79,96.69,3.55,229.56,22.56,0.0,34.7,8.38,35.94,2.12
2017,8,10,160.56,4.3,96.75,3.42,151.5,28.62,0.06,34.38,10.31,36.15,1.91
2017,8,11,52.56,6.37,97.05,5.46,52.25,40.31,0.01,29.17,13.23,32.24,2.23
2017,8,12,74.75,5.1,97.13,4.37,73.44,40.12,0.02,27.3,11.87,30.44,1.99
2017,8,13,88.56,3.96,97.1,3.37,86.44,40.25,0.02,26.9,11.52,30.4,1.95
2017,8,14,146.88,4.24,97.11,3.54,149.75,47.06,0.0,28.38,14.17,31.68,2.16
2017,8,15,113.69,3.63,97.18,2.95,113.94,47.38,0.0,28.58,14.56,31.65,2.09
2017,8,16,88.38,3.77,97.05,2.94,86.31,43.19,0.02,29.83,13.78,32.78,2.27
2017,8,17,75.31,3.94,97.0,2.98,73.94,32.25,0.32,28.92,9.12,31.15,2.26
2017,8,18,91.06,3.18,97.0,2.37,89.69,34.0,0.0,29.48,10.61,32.08,2.16
2017,8,19,165.06,2.84,96.87,2.36,168.44,39.19,0.0,30.44,13.12,33.44,2.1
2017,8,20,61.25,3.14,96.94,2.43,59.12,35.31,0.0,30.71,12.22,33.96,2.01
2017,8,21,213.44,4.74,96.88,3.62,197.0,33.81,0.0,29.19,10.67,32.06,1.98
2017,8,22,61.06,4.71,96.98,3.95,58.69,41.88,0.0,26.51,11.24,29.83,2.11
2017,8,23,64.75,4.6,97.03,3.5,63.06,43.69,0.0,26.19,9.87,29.13,2.15
2017,8,24,76.69,4.15,97.15,3.45,74.81,52.44,0.0,25.9,13.43,28.87,2.03
2017,8,25,126.75,4.74,97.24,3.75,127.25,57.75,0.0,25.98,15.19,28.89,2.08
2017,8,26,164.19,3.47,97.13,2.64,163.75,49.69,0.0,26.38,12.47,28.83,2.05
2017,8,27,186.69,4.0,97.01,2.96,187.38,32.38,0.0,27.01,7.05,29.0,2.09
2017,8,28,172.0,3.44,96.88,2.47,169.0,25.69,0.0,28.94,5.9,30.7,2.0
2017,8,29,168.88,4.2,96.76,2.98,167.19,25.06,0.0,29.94,6.33,31.61,2.12
2017,8,30,194.5,3.37,96.77,2.49,194.0,28.31,0.0,29.93,7.97,31.6,2.01
2017,8,31,135.81,3.23,96.92,2.65,137.69,44.88,0.0,28.37,13.75,30.53,1.88
2017,9,1,167.69,3.53,96.9,2.89,170.19,49.0,0.01,29.03,14.96,31.61,1.65
2017,9,2,134.0,5.33,96.72,4.12,150.12,43.94,0.01,29.22,12.84,31.55,1.67
2017,9,3,55.62,6.3,96.95,5.2,82.5,43.25,0.01,25.16,10.23,28.23,2.01
2017,9,4,157.38,3.72,96.95,2.89,161.19,52.25,0.0,25.26,13.52,28.19,1.59
2017,9,5,116.38,3.08,97.28,2.57,118.0,54.19,0.69,26.23,15.33,29.58,1.65
2017,9,6,125.38,3.42,97.23,2.88,126.12,55.38,0.24,26.23,15.54,29.45,1.86
2017,9,7,74.69,3.23,96.85,2.49,75.5,69.81,13.76,23.14,17.12,23.98,0.91
2017,9,8,87.19,5.79,96.68,4.21,101.0,60.12,0.03,23.74,14.47,25.48,1.55
2017,9,9,206.81,7.52,96.48,5.29,207.69,57.44,0.13,24.91,14.57,26.03,1.37
2017,9,10,253.19,11.71,95.9,9.01,252.94,40.19,0.67,25.55,9.39,26.01,0.93
2017,9,11,298.94,6.7,96.62,5.2,299.19,43.5,0.01,21.58,6.63,22.3,1.45
2017,9,12,257.69,5.7,96.91,3.97,258.81,31.5,0.0,24.4,4.86,24.73,1.8
2017,9,13,157.44,6.35,97.34,4.38,156.94,44.88,0.0,24.36,10.81,25.84,1.76
2017,9,14,198.81,4.72,97.11,3.31,199.62,50.25,0.0,24.83,11.73,26.05,1.77
2017,9,15,258.56,5.2,96.63,3.66,259.75,34.0,0.0,27.05,8.37,27.42,1.77
2017,9,16,246.81,4.44,96.44,3.41,246.75,26.44,0.0,29.3,6.37,28.12,1.46
2017,9,17,75.0,6.74,96.85,5.15,74.19,46.31,0.0,25.79,12.87,27.4,1.67
2017,9,18,114.31,4.01,96.94,2.92,115.44,45.19,0.0,23.62,10.28,25.8,1.51
2017,9,19,263.19,7.66,96.94,5.86,262.38,48.12,0.02,22.95,10.55,24.52,1.58
2017,9,20,226.62,4.93,97.23,3.41,225.25,53.44,0.07,20.56,9.76,22.65,1.34
2017,9,21,117.12,3.99,97.26,2.77,119.69,53.56,0.0,20.13,9.49,22.56,1.52
2017,9,22,154.06,3.71,97.19,2.78,154.75,63.75,0.0,21.69,13.4,23.29,1.46
2017,9,23,187.0,1.73,97.26,1.29,187.44,59.19,2.94,23.14,13.67,24.34,1.27
2017,9,24,203.94,5.59,97.13,3.59,218.12,60.12,0.84,23.08,14.26,23.52,1.23
2017,9,25,246.94,4.1,97.14,2.51,255.12,53.25,0.0,22.05,10.23,24.21,1.39
2017,9,26,149.31,2.93,97.06,2.18,151.69,59.5,0.06,22.77,13.4,24.48,1.35
2017,9,27,72.06,3.48,97.18,2.66,72.12,64.5,0.61,22.31,14.63,24.23,1.12
